0,70,49,70,40,532,0,532,
49,70,132,70,125,530,40,530,
132,70,161,70,154,530,125,530,
161,70,246,70,246,529,154,529,
246,166,280,166,277,523,246,523,
281,140,359,140,360,525,277,525,
359,80,386,80,386,514,360,514,
386,70,408,70,401,477,386,477,
407,107,460,107,452,521,400,521,
460,70,473,70,464,519,452,519,
473,74,527,74,515,517,464,517,
527,70,542,70,530,517,515,517,
542,77,586,77,571,516,530,516,
586,77,638,77,622,514,571,514,
637,106,683,106,666,512,622,512,
685,70,717,70,699,510,666,510,
717,70,778,70,759,509,699,509,
778,70,830,70,802,508,759,508,
830,70,872,70,847,505,802,505,
872,70,922,70,896,504,847,504,
922,70,968,70,942,503,896,503,
1011,73,1069,73,1039,496,985,496,
1069,70,1125,70,1088,498,1039,498,
1125,70,1186,70,1145,496,1089,496,
1186,70,1244,70,1199,494,1145,494,
1244,70,1302,70,1256,492,1200,492,
1302,70,1365,70,1306,490,1256,490,
1365,70,1404,70,1339,488,1306,488,
1404,70,1418,70,1350,486,1339,486,
1415,88,1449,88,1386,485,1350,485,
1452,70,1494,70,1427,485,1386,485,
1494,70,1505,70,1434,483,1427,483,
1505,70,1535,70,1464,482,1434,482,
1535,70,1549,70,1471,482,1464,482,
1549,70,1583,70,1507,480,1471,480,
1583,70,1641,70,1561,480,1507,480,
1641,70,1681,70,1603,475,1562,475,
1681,70,1721,70,1645,477,1603,477,
1721,70,1734,70,1655,475,1646,475,
1734,70,1768,70,1690,474,1655,474,
1768,70,1807,70,1730,473,1690,473,
1807,70,1849,70,1772,471,1730,471,
1846,84,1885,84,1811,470,1772,470,
1887,70,1932,70,1854,469,1811,469,
1932,70,1968,70,1893,467,1855,467,
1968,70,2019,70,1968,467,1893,467,
2019,70,2055,70,2040,463,1969,463,
2055,70,2074,70,2097,460,2040,460,
2074,70,2328,70,2356,459,2097,459,
2328,70,2447,70,2447,448,2355,448,
